product_id,product,reviews_count,avg_rating,positive_share,last_review
P001,Смартфон Aurora X1,23,4.17,82.6,2026-04-21
P003,Беспроводные наушники SonicPods,32,4.0,81.2,2026-04-22
P006,Кофемашина AromaBarista,21,3.81,71.4,2026-04-24
P010,Монитор VisionView 27,23,3.57,56.5,2026-04-22
P011,Планшет TabLine 10,42,3.4,54.8,2026-04-18
P008,Игровая мышь CyberClick,15,3.4,60.0,2026-04-26
P009,Клавиатура KeyMaster RGB,23,3.39,56.5,2026-04-16
P002,Ноутбук VectorBook 14,31,3.39,48.4,2026-04-21
P012,Роутер HomeNet AX,22,3.36,45.5,2026-04-26
P004,Умные часы FitTime Pro,32,3.25,37.5,2026-04-12
P007,Электрочайник GlassHeat,36,3.08,38.9,2026-04-21
P005,Пылесос CleanBot Mini,20,3.05,35.0,2026-04-24
