review_id,user_id,product_id,product,text,rating,date
R0001,U008,P011,Планшет TabLine 10,"Цена завышена, ожидала большего, функциональность неудобная. Особенно заметно: царапина, шум.",2,2026-01-04
R0002,U007,P012,Роутер HomeNet AX,"Плохой опыт, после недели использования появилась неисправность. Особенно заметно: шум, возврат.",2,2026-03-28
R0003,U003,P007,Электрочайник GlassHeat,"Хорошая сборка, приятный дизайн, цена полностью оправдана. Особенно заметно: быстро, выгодно.",5,2026-01-04
R0004,U042,P004,Умные часы FitTime Pro,"Нормально за свою цену, есть плюсы и минусы. Особенно заметно: стильно, но возврат.",3,2026-03-31
R0005,U011,P001,Смартфон Aurora X1,"Товар понравился, всё подключилось без проблем, инструкция понятная. Особенно заметно: надежно, удобно.",4,2026-03-31
R0006,U007,P006,Кофемашина AromaBarista,"За свои деньги просто супер, функциональность отличная, нареканий нет. Особенно заметно: качественно, выгодно.",4,2026-01-12
R0007,U003,P005,Пылесос CleanBot Mini,"Обычный товар, в целом работает, но без сильных преимуществ. Особенно заметно: аккуратно, но шум. Меня зовут Иван, телефон +7 999 400-90-89.",3,2026-04-04
R0008,U037,P006,Кофемашина AromaBarista,"Обычный товар, в целом работает, но без сильных преимуществ. Особенно заметно: приятно, но возврат.",3,2026-01-25
R0009,U015,P002,Ноутбук VectorBook 14,"Товар понравился, всё подключилось без проблем, инструкция понятная. Особенно заметно: стильно, качественно.",5,2026-04-21
R0010,U011,P006,Кофемашина AromaBarista,"Товар понравился, всё подключилось без проблем, инструкция понятная. Особенно заметно: удобно, выгодно.",4,2026-02-17
R0011,U011,P011,Планшет TabLine 10,"Нормально за свою цену, есть плюсы и минусы. Особенно заметно: стильно, но медленно.",3,2026-03-10
R0012,U041,P005,Пылесос CleanBot Mini,"Покупка средняя, ожидания частично оправдались. Особенно заметно: быстро, но царапина.",3,2026-03-30
R0013,U021,P001,Смартфон Aurora X1,"Хорошая сборка, приятный дизайн, цена полностью оправдана. Особенно заметно: качественно, удобно.",5,2026-02-21
R0014,U032,P011,Планшет TabLine 10,"Покупкой недовольна, заряд держит мало, подключение часто пропадает. Особенно заметно: задержка, неудобно.",2,2026-02-20
R0015,U016,P003,Беспроводные наушники SonicPods,"Товар понравился, всё подключилось без проблем, инструкция понятная. Особенно заметно: аккуратно, выгодно.",4,2026-04-06
R0016,U024,P007,Электрочайник GlassHeat,"Не рекомендую, устройство шумит, иногда зависает и плохо работает. Особенно заметно: неудобно, брак.",1,2026-01-29
R0017,U008,P001,Смартфон Aurora X1,"Покупка удачная, устройство тихое, красивое и надежное. Особенно заметно: удобно, приятно.",4,2026-01-20
R0018,U039,P007,Электрочайник GlassHeat,"Обычный товар, в целом работает, но без сильных преимуществ. Особенно заметно: удобно, но возврат.",3,2026-03-01
R0019,U022,P011,Планшет TabLine 10,"Очень удобная вещь, пользуюсь каждый день, рекомендую к покупке. Особенно заметно: стильно, быстро.",4,2026-01-15
R0020,U017,P012,Роутер HomeNet AX,"Плохой опыт, после недели использования появилась неисправность. Особенно заметно: шум, медленно.",2,2026-03-06
R0021,U020,P011,Планшет TabLine 10,"Нормально за свою цену, есть плюсы и минусы. Особенно заметно: надежно, но поломка.",3,2026-04-18
R0022,U035,P003,Беспроводные наушники SonicPods,"Товар разочаровал, качество слабое, появились проблемы уже в первый день. Особенно заметно: поломка, царапина.",2,2026-04-10
R0023,U008,P001,Смартфон Aurora X1,"Пришёл брак, пришлось писать в поддержку и оформлять возврат. Особенно заметно: царапина, брак.",2,2026-02-16
R0024,U037,P004,Умные часы FitTime Pro,"Сервис магазина порадовал, товар новый, без дефектов и царапин. Особенно заметно: удобно, аккуратно.",5,2026-01-11
R0025,U009,P009,Клавиатура KeyMaster RGB,"Нормально за свою цену, есть плюсы и минусы. Особенно заметно: выгодно, но медленно.",3,2026-01-17
R0026,U035,P004,Умные часы FitTime Pro,"Нормально за свою цену, есть плюсы и минусы. Особенно заметно: выгодно, но медленно.",3,2026-04-07
R0027,U042,P011,Планшет TabLine 10,"Работает лучше предыдущей модели, батарея держит долго, впечатления положительные. Особенно заметно: стильно, быстро.",4,2026-02-17
R0028,U015,P004,Умные часы FitTime Pro,"Очень довольна заказом, товар соответствует описанию и фото. Особенно заметно: приятно, выгодно.",4,2026-01-09
R0029,U001,P004,Умные часы FitTime Pro,"Обычный товар, в целом работает, но без сильных преимуществ. Особенно заметно: приятно, но шум.",3,2026-01-10
R0030,U022,P001,Смартфон Aurora X1,"Товар понравился, всё подключилось без проблем, инструкция понятная. Особенно заметно: стильно, удобно.",4,2026-01-10
R0031,U009,P009,Клавиатура KeyMaster RGB,"Не подошло, работает нестабильно, интерфейс неудобный и медленный. Особенно заметно: неудобно, шум.",1,2026-04-03
R0032,U027,P008,Игровая мышь CyberClick,"Покупка удачная, устройство тихое, красивое и надежное. Особенно заметно: качественно, приятно.",5,2026-01-25
R0033,U030,P007,Электрочайник GlassHeat,"Доставка задержалась, коробка была мятая, впечатление испорчено. Особенно заметно: брак, царапина.",2,2026-04-21
R0034,U022,P012,Роутер HomeNet AX,"Цена завышена, ожидала большего, функциональность неудобная. Особенно заметно: царапина, шум.",2,2026-04-13
R0035,U029,P009,Клавиатура KeyMaster RGB,"Товар понравился, всё подключилось без проблем, инструкция понятная. Особенно заметно: стильно, удобно.",4,2026-01-18
R0036,U029,P002,Ноутбук VectorBook 14,"Плохой опыт, после недели использования появилась неисправность. Особенно заметно: шум, брак.",2,2026-04-14
R0037,U035,P011,Планшет TabLine 10,"Качество выше ожиданий, упаковка аккуратная, доставка пришла вовремя. Особенно заметно: приятно, удобно.",5,2026-04-18
R0038,U032,P007,Электрочайник GlassHeat,"Покупка удачная, устройство тихое, красивое и надежное. Особенно заметно: быстро, удобно.",4,2026-03-03
R0039,U001,P007,Электрочайник GlassHeat,"Сервис магазина порадовал, товар новый, без дефектов и царапин. Особенно заметно: выгодно, приятно.",4,2026-02-19
R0040,U036,P012,Роутер HomeNet AX,"Нормально за свою цену, есть плюсы и минусы. Особенно заметно: приятно, но возврат.",3,2026-03-26
R0041,U004,P004,Умные часы FitTime Pro,"Обычный товар, в целом работает, но без сильных преимуществ. Особенно заметно: качественно, но брак. Меня зовут Анна, телефон +7 999 698-71-74.",3,2026-03-16
R0042,U011,P009,Клавиатура KeyMaster RGB,"Доставка задержалась, коробка была мятая, впечатление испорчено. Особенно заметно: задержка, брак.",1,2026-01-08
R0043,U005,P010,Монитор VisionView 27,"Описание на сайте красивое, но в реальности товар заметно хуже. Особенно заметно: шум, возврат.",2,2026-03-28
R0044,U038,P004,Умные часы FitTime Pro,"Качество выше ожиданий, упаковка аккуратная, доставка пришла вовремя. Особенно заметно: аккуратно, качественно.",5,2026-03-18
R0045,U037,P010,Монитор VisionView 27,"Товар понравился, всё подключилось без проблем, инструкция понятная. Особенно заметно: приятно, качественно.",5,2026-03-08
R0046,U021,P012,Роутер HomeNet AX,"Очень удобная вещь, пользуюсь каждый день, рекомендую к покупке. Особенно заметно: выгодно, приятно.",5,2026-01-31
R0047,U005,P006,Кофемашина AromaBarista,"Очень довольна заказом, товар соответствует описанию и фото. Особенно заметно: удобно, быстро.",4,2026-01-02
R0048,U014,P009,Клавиатура KeyMaster RGB,"За свои деньги просто супер, функциональность отличная, нареканий нет. Особенно заметно: удобно, стильно.",5,2026-03-06
R0049,U019,P006,Кофемашина AromaBarista,"Работает лучше предыдущей модели, батарея держит долго, впечатления положительные. Особенно заметно: выгодно, стильно.",4,2026-01-21
R0050,U034,P011,Планшет TabLine 10,"Покупка средняя, ожидания частично оправдались. Особенно заметно: удобно, но задержка.",3,2026-01-02
R0051,U008,P005,Пылесос CleanBot Mini,"Работает лучше предыдущей модели, батарея держит долго, впечатления положительные. Особенно заметно: надежно, стильно.",5,2026-04-24
R0052,U039,P005,Пылесос CleanBot Mini,"Цена завышена, ожидала большего, функциональность неудобная. Особенно заметно: возврат, неудобно.",2,2026-01-27
R0053,U017,P008,Игровая мышь CyberClick,"Товар разочаровал, качество слабое, появились проблемы уже в первый день. Особенно заметно: шум, поломка.",1,2026-04-26
R0054,U018,P007,Электрочайник GlassHeat,"Очень удобная вещь, пользуюсь каждый день, рекомендую к покупке. Особенно заметно: выгодно, удобно.",5,2026-01-06
R0055,U029,P012,Роутер HomeNet AX,"Обычный товар, в целом работает, но без сильных преимуществ. Особенно заметно: удобно, но шум.",3,2026-03-12
R0056,U010,P012,Роутер HomeNet AX,"За свои деньги просто супер, функциональность отличная, нареканий нет. Особенно заметно: надежно, приятно.",5,2026-03-11
R0057,U003,P003,Беспроводные наушники SonicPods,"Отличный товар, работает быстро и стабильно, покупкой довольна. Особенно заметно: качественно, удобно.",5,2026-02-09
R0058,U016,P011,Планшет TabLine 10,"Работает лучше предыдущей модели, батарея держит долго, впечатления положительные. Особенно заметно: аккуратно, выгодно.",5,2026-03-27
R0059,U010,P012,Роутер HomeNet AX,"Не рекомендую, устройство шумит, иногда зависает и плохо работает. Особенно заметно: медленно, брак.",2,2026-01-31
R0060,U022,P003,Беспроводные наушники SonicPods,"Цена завышена, ожидала большего, функциональность неудобная. Особенно заметно: возврат, шум.",2,2026-04-11
R0061,U007,P012,Роутер HomeNet AX,"Покупкой недовольна, заряд держит мало, подключение часто пропадает. Особенно заметно: царапина, шум.",2,2026-02-18
R0062,U023,P008,Игровая мышь CyberClick,"Цена завышена, ожидала большего, функциональность неудобная. Особенно заметно: царапина, брак. Свяжитесь со мной по номеру 8-916-775-34-61.",2,2026-02-09
R0063,U018,P006,Кофемашина AromaBarista,"Товар понравился, всё подключилось без проблем, инструкция понятная. Особенно заметно: качественно, стильно.",5,2026-04-21
R0064,U026,P009,Клавиатура KeyMaster RGB,"Плохой опыт, после недели использования появилась неисправность. Особенно заметно: поломка, брак.",1,2026-03-28
R0065,U017,P002,Ноутбук VectorBook 14,"Покупка средняя, ожидания частично оправдались. Особенно заметно: быстро, но шум.",3,2026-01-23
R0066,U028,P010,Монитор VisionView 27,"Покупка средняя, ожидания частично оправдались. Особенно заметно: аккуратно, но шум.",3,2026-02-14
R0067,U037,P007,Электрочайник GlassHeat,"Покупка удачная, устройство тихое, красивое и надежное. Особенно заметно: быстро, выгодно.",4,2026-01-25
R0068,U044,P009,Клавиатура KeyMaster RGB,"Цена завышена, ожидала большего, функциональность неудобная. Особенно заметно: поломка, царапина.",1,2026-04-03
R0069,U043,P002,Ноутбук VectorBook 14,"Обычный товар, в целом работает, но без сильных преимуществ. Особенно заметно: выгодно, но возврат.",3,2026-02-12
R0070,U027,P011,Планшет TabLine 10,"Товар понравился, всё подключилось без проблем, инструкция понятная. Особенно заметно: надежно, удобно.",4,2026-02-11
R0071,U043,P007,Электрочайник GlassHeat,"Не рекомендую, устройство шумит, иногда зависает и плохо работает. Особенно заметно: возврат, царапина.",2,2026-02-18
R0072,U001,P009,Клавиатура KeyMaster RGB,"Покупка удачная, устройство тихое, красивое и надежное. Особенно заметно: качественно, приятно.",4,2026-02-08
R0073,U029,P008,Игровая мышь CyberClick,"Сервис магазина порадовал, товар новый, без дефектов и царапин. Особенно заметно: надежно, качественно.",5,2026-03-28
R0074,U019,P002,Ноутбук VectorBook 14,"Покупка средняя, ожидания частично оправдались. Особенно заметно: удобно, но царапина.",3,2026-03-07
R0075,U020,P011,Планшет TabLine 10,"Не рекомендую, устройство шумит, иногда зависает и плохо работает. Особенно заметно: брак, неудобно.",2,2026-01-29
R0076,U031,P004,Умные часы FitTime Pro,"Доставка задержалась, коробка была мятая, впечатление испорчено. Особенно заметно: неудобно, царапина.",2,2026-03-20
R0077,U037,P011,Планшет TabLine 10,"Можно пользоваться, но качество не идеальное. Особенно заметно: стильно, но медленно.",3,2026-01-25
R0078,U010,P004,Умные часы FitTime Pro,"Обычный товар, в целом работает, но без сильных преимуществ. Особенно заметно: аккуратно, но царапина.",3,2026-03-25
R0079,U045,P003,Беспроводные наушники SonicPods,"Работает лучше предыдущей модели, батарея держит долго, впечатления положительные. Особенно заметно: приятно, аккуратно.",4,2026-03-08
R0080,U030,P002,Ноутбук VectorBook 14,"Плохой опыт, после недели использования появилась неисправность. Особенно заметно: поломка, медленно.",2,2026-01-18
R0081,U040,P008,Игровая мышь CyberClick,"Можно пользоваться, но качество не идеальное. Особенно заметно: стильно, но задержка.",3,2026-04-15
R0082,U031,P012,Роутер HomeNet AX,"Хорошая сборка, приятный дизайн, цена полностью оправдана. Особенно заметно: выгодно, аккуратно.",5,2026-02-27
R0083,U032,P009,Клавиатура KeyMaster RGB,"Сервис магазина порадовал, товар новый, без дефектов и царапин. Особенно заметно: удобно, качественно.",5,2026-03-22
R0084,U016,P005,Пылесос CleanBot Mini,"Работает лучше предыдущей модели, батарея держит долго, впечатления положительные. Особенно заметно: удобно, стильно.",4,2026-02-04
R0085,U015,P003,Беспроводные наушники SonicPods,"Хорошая сборка, приятный дизайн, цена полностью оправдана. Особенно заметно: удобно, приятно.",4,2026-02-19
R0086,U022,P007,Электрочайник GlassHeat,"Обычный товар, в целом работает, но без сильных преимуществ. Особенно заметно: приятно, но медленно.",3,2026-03-11
R0087,U038,P007,Электрочайник GlassHeat,"Очень довольна заказом, товар соответствует описанию и фото. Особенно заметно: аккуратно, приятно.",5,2026-03-31
R0088,U023,P001,Смартфон Aurora X1,"Можно пользоваться, но качество не идеальное. Особенно заметно: приятно, но неудобно.",3,2026-02-08
R0089,U018,P004,Умные часы FitTime Pro,"Покупка удачная, устройство тихое, красивое и надежное. Особенно заметно: качественно, стильно. Меня зовут Сергей, телефон +7 999 841-31-69.",4,2026-02-25
R0090,U040,P003,Беспроводные наушники SonicPods,"Покупка удачная, устройство тихое, красивое и надежное. Особенно заметно: быстро, стильно.",5,2026-03-10
R0091,U028,P011,Планшет TabLine 10,"Не рекомендую, устройство шумит, иногда зависает и плохо работает. Особенно заметно: брак, задержка.",2,2026-01-18
R0092,U021,P007,Электрочайник GlassHeat,"Покупка средняя, ожидания частично оправдались. Особенно заметно: аккуратно, но возврат.",3,2026-01-28
R0093,U017,P007,Электрочайник GlassHeat,"Отличный товар, работает быстро и стабильно, покупкой довольна. Особенно заметно: быстро, надежно.",5,2026-04-17
R0094,U042,P004,Умные часы FitTime Pro,"Товар разочаровал, качество слабое, появились проблемы уже в первый день. Особенно заметно: брак, шум.",2,2026-01-09
R0095,U002,P004,Умные часы FitTime Pro,"Очень удобная вещь, пользуюсь каждый день, рекомендую к покупке. Особенно заметно: стильно, качественно.",5,2026-03-21
R0096,U037,P002,Ноутбук VectorBook 14,"Товар понравился, всё подключилось без проблем, инструкция понятная. Особенно заметно: качественно, удобно.",4,2026-01-28
R0097,U039,P010,Монитор VisionView 27,"Очень удобная вещь, пользуюсь каждый день, рекомендую к покупке. Особенно заметно: выгодно, быстро.",4,2026-04-06
R0098,U002,P010,Монитор VisionView 27,"Покупка удачная, устройство тихое, красивое и надежное. Особенно заметно: аккуратно, качественно.",4,2026-02-09
R0099,U005,P004,Умные часы FitTime Pro,"Нормально за свою цену, есть плюсы и минусы. Особенно заметно: удобно, но возврат.",3,2026-03-17
R0100,U039,P011,Планшет TabLine 10,"Очень довольна заказом, товар соответствует описанию и фото. Особенно заметно: быстро, надежно.",5,2026-04-14
R0101,U028,P009,Клавиатура KeyMaster RGB,"Работает лучше предыдущей модели, батарея держит долго, впечатления положительные. Особенно заметно: качественно, быстро.",4,2026-03-26
R0102,U032,P007,Электрочайник GlassHeat,"Покупка средняя, ожидания частично оправдались. Особенно заметно: стильно, но задержка.",3,2026-01-14
