review_id,user_id,product_id,product,text,rating,date,sentiment,sentiment_label,kmeans_cluster,dbscan_cluster,x,y
R0001,U008,P011,Планшет TabLine 10,"Цена завышена, ожидала большего, функциональность неудобная. Особенно заметно: царапина, шум.",2,2026-01-04,0,негативный,2,0,0.04848958559638072,0.0029878964127308255
R0002,U007,P012,Роутер HomeNet AX,"Плохой опыт, после недели использования [NAME] неисправность. Особенно заметно: шум, возврат.",2,2026-03-28,0,негативный,2,1,0.025476819204392244,-0.04085159851257469
R0003,U003,P007,Электрочайник GlassHeat,"Хорошая [NAME], приятный дизайн, цена полностью оправдана. Особенно заметно: быстро, выгодно.",5,2026-01-04,1,позитивный,2,2,-0.0013953952820137143,0.0015073373634403957
R0004,U042,P004,Умные часы FitTime Pro,"Нормально за свою цену, есть плюсы и минусы. Особенно заметно: стильно, но возврат.",3,2026-03-31,0,негативный,1,3,0.08101200686616013,-0.04594927707887453
R0005,U011,P001,Смартфон Aurora X1,"Товар понравился, всё подключилось без проблем, инструкция [NAME]. Особенно заметно: надежно, удобно.",4,2026-03-31,1,позитивный,3,4,-0.5439130040363147,-0.2826545714743232
R0006,U007,P006,Кофемашина AromaBarista,"За свои деньги просто супер, функциональность отличная, нареканий нет. Особенно заметно: качественно, выгодно.",4,2026-01-12,1,позитивный,2,5,0.07309012022746099,0.04695538786044069
R0007,U003,P005,Пылесос CleanBot Mini,"Обычный товар, в целом работает, но без сильных преимуществ. Особенно заметно: аккуратно, но шум. Меня зовут [NAME], телефон [PHONE].",3,2026-04-04,0,негативный,1,6,-0.004368987253587283,-0.04781277792679912
R0008,U037,P006,Кофемашина AromaBarista,"Обычный товар, в целом работает, но без сильных преимуществ. Особенно заметно: приятно, но возврат.",3,2026-01-25,0,негативный,1,6,0.015395343591850925,-0.05879746197290574
R0009,U015,P002,Ноутбук VectorBook 14,"Товар понравился, всё подключилось без проблем, инструкция [NAME]. Особенно заметно: стильно, качественно.",5,2026-04-21,1,позитивный,3,4,-0.5573294132558353,-0.29103609121132457
R0010,U011,P006,Кофемашина AromaBarista,"Товар понравился, всё подключилось без проблем, инструкция [NAME]. Особенно заметно: удобно, выгодно.",4,2026-02-17,1,позитивный,3,4,-0.5705854641456463,-0.30239855089716655
R0011,U011,P011,Планшет TabLine 10,"Нормально за свою цену, есть плюсы и минусы. Особенно заметно: стильно, но медленно.",3,2026-03-10,0,негативный,1,3,0.08171877968094628,-0.04784913792737803
R0012,U041,P005,Пылесос CleanBot Mini,"Покупка средняя, ожидания [NAME] оправдались. Особенно заметно: быстро, но царапина.",3,2026-03-30,0,негативный,1,7,0.21257032983798857,-0.19165676654964767
R0013,U021,P001,Смартфон Aurora X1,"Хорошая [NAME], приятный дизайн, цена полностью оправдана. Особенно заметно: качественно, удобно.",5,2026-02-21,1,позитивный,2,2,-0.01245140191938726,-0.027333481865654506
R0014,U032,P011,Планшет TabLine 10,"Покупкой недовольна, заряд держит мало, подключение часто пропадает. Особенно заметно: задержка, неудобно.",2,2026-02-20,0,негативный,2,8,0.053184812348407474,0.01694364382738156
R0015,U016,P003,Беспроводные наушники SonicPods,"Товар понравился, всё подключилось без проблем, инструкция [NAME]. Особенно заметно: аккуратно, выгодно.",4,2026-04-06,1,позитивный,3,4,-0.5643415671217032,-0.25509258507077576
R0016,U024,P007,Электрочайник GlassHeat,"Не рекомендую, устройство шумит, иногда зависает и плохо работает. Особенно заметно: неудобно, брак.",1,2026-01-29,0,негативный,2,9,0.09344380852424758,-0.01516593502602421
R0017,U008,P001,Смартфон Aurora X1,"Покупка удачная, устройство тихое, красивое и надежное. Особенно заметно: удобно, приятно.",4,2026-01-20,1,позитивный,2,10,0.560726233738308,-0.1430093408070517
